股票代码,股票名称,D-0日期,D-0涨幅,D-0振幅,D-0最低价,D-0最高价,D-1振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688001,XD华兴源,2021-07-23,7.38,13.55,+5.16,+18.71,20.39,198.65%,0%/5%(阴),4%,-5%,-6%,-4%,-5%,-4%
688003,天准科技,2024-02-27,-0.5,6.78,-5.89,+0.90,13.82,94.17%,-7%/0%(阴),-2%,0%,2%,1%,0%,2%
688005,容百科技,2020-10-12,7.06,6.78,+0.81,+7.59,10.39,122.79%,-3%/3%(阳),6%,8%,4%,3%,3%,2%
688005,容百科技,2021-05-31,18.94,12.76,+6.18,+18.94,12.09,218.76%,-4%/0%(阳),2%,3%,16%,10%,10%,7%
688006,XD杭可科,2025-09-01,17.13,15.03,+4.97,+20.01,13.99,281.12%,-2%/7%(阳),2%,13%,27%(板),44%,34%,38%
688011,新光光电,2025-06-19,10.32,22.38,-7.73,+14.66,20.65,157.02%,-10%/-4%(阴),-7%,-16%,-13%,-10%,-13%,-10%
688015,交控科技,2024-04-19,8.51,13.81,+0.31,+14.12,21.22,249.45%,-14%/-6%(阴),-9%,-7%,-10%,-11%,-10%,-11%
688017,绿的谐波,2026-06-08,8.97,19.02,-4.47,+14.55,23.85,150.71%,-8%/0%(阳),0%,-5%,-10%,-13%,-11%,-11%
688019,安集科技,2020-06-23,3.03,6.87,-1.87,+4.99,17.95,85.01%,-3%/3%(阴),-1%,10%,8%,11%,10%,27%
688020,方邦股份,2023-02-02,2.9,8.42,-2.05,+6.36,18.95,129.36%,-1%/1%(阴),1%,4%,6%,9%,8%,7%
688021,奥福科技,2020-06-01,16.16,20.92,-1.26,+19.66,22.76,99.86%,-2%/11%(阳),22%(板),45%,43%,28%,22%,19%
688025,杰普特,2023-05-04,-0.72,3.46,-3.48,-0.02,17.52,49.42%,-4%/0%(阴),1%,4%,4%,3%,2%,1%
688028,沃尔德,2026-03-02,8.64,14.55,-1.03,+13.52,22.34,132.91%,-8%/0%(阴),-2%,4%,-2%,-13%,-8%,-3%
688030,山石网科,2021-11-02,1.04,7.12,-3.85,+3.27,10.44,98.2%,0%/4%(阳),7%,8%,7%,7%,8%,10%
688035,德邦科技,2026-02-12,7.12,11.16,+0.37,+11.53,20.79,129.15%,-2%/3%(阴),-2%,-7%,7%,8%,20%,16%
688037,芯源微,2026-01-08,13.17,18.65,+1.32,+19.96,16.72,192.49%,-10%/-4%(阴),-9%,-10%,-10%,-2%,10%,8%
688039,当虹科技,2026-01-06,2.4,7.47,+0.50,+7.97,18.75,144.6%,-6%/-1%(阴),2%,12%,27%,27%,20%,10%
688041,海光信息,2025-08-25,12.92,11.99,+5.00,+16.98,17.34,158.05%,-6%/-3%(阴),-4%,-3%,-5%,3%,0%,-6%
688048,长光华芯,2025-01-14,2.09,4.81,-0.63,+4.18,14.15,113.57%,-5%/2%(阴),0%,0%,3%,6%,13%,15%
688048,长光华芯,2025-02-10,-1.27,6.6,-6.49,+0.11,17.28,80.05%,-4%/5%(阳),9%,25%,10%,13%,13%,19%
688048,长光华芯,2025-11-07,9.01,14.07,+0.26,+14.33,17.9,131.63%,-5%/-1%(阳),4%,-4%,9%,2%,-4%,0%
688055,龙腾光电,2026-05-22,7.98,17.44,-7.24,+10.20,13.36,187.86%,-7%/-2%(阴),7%,6%,-3%,-7%,-13%,-15%
688059,华锐精密,2025-02-21,3.62,7.38,-3.76,+3.62,16.38,88.89%,-10%/-1%(阴),-5%,4%,9%,1%,-2%,-5%
688060,云涌科技,2022-07-15,9.09,15.04,+0.85,+15.88,20.65,171.98%,-4%/2%(阳),15%,6%,-1%,-4%,-3%,-7%
688066,*ST航图,2026-01-09,8.9,14.77,+0.13,+14.90,21.76,128.31%,5%/19%(阳),14%,12%,2%,6%,4%,4%
688068,热景生物,2020-06-16,-1.5,14.15,-7.36,+6.78,10.15,104.9%,-4%/8%(阴),-5%,-9%,-7%,-5%,-8%,-1%
688075,安旭生物,2022-02-28,10.29,16.33,-1.95,+14.38,17.96,126.44%,-8%/3%(阴),10%,13%,4%,-1%,-2%,-7%
688076,ST诺泰,2023-01-12,5.24,11.96,+2.65,+14.61,18.77,253.31%,-6%/0%(阴),3%,0%,-7%,-4%,-5%,-6%
688077,大地熊,2024-11-04,8.98,13.05,+2.85,+15.89,21.41,305.86%,-5%/19%(阳),22%,10%,5%,4%,6%,9%
688078,龙软科技,2021-08-13,2.61,12.79,-3.78,+9.02,20.64,179.71%,-3%/3%(阴),0%,-6%,-5%,-7%,1%,2%
688078,龙软科技,2021-11-09,3.12,13.75,-4.04,+9.71,20.32,125.96%,-2%/0%(阳),0%,1%,-2%,-3%,-2%,2%
688082,盛美上海,2025-08-25,7.24,10.2,+4.07,+14.27,19.95,147.15%,-4%/11%(阳),10%,9%,7%,4%,2%,2%
688083,中望软件,2026-06-09,2.2,7.12,-3.78,+3.34,23.28,91.44%,-2%/5%(阳),0%,2%,-4%,-7%,-3%,-3%
688088,虹软科技,2020-01-17,19.38,16.32,+3.68,+20.00,20.43,171.72%,-7%/8%(阴),1%,5%,1%,-18%,-13%,-7%
688089,ST嘉必优,2024-04-30,11.77,18.15,-1.19,+16.95,15.56,170.07%,-2%/6%(阳),2%,0%,0%,0%,-7%,-11%
688090,瑞松科技,2021-07-23,18.16,16.3,+3.71,+20.01,19.56,344.71%,-7%/-1%(阳),5%,-3%,-5%,-5%,4%,3%
688093,世华科技,2021-07-20,2.12,7.87,-4.41,+3.46,19.19,93.18%,-2%/8%(阳),7%,5%,1%,0%,-2%,-1%
688096,京源环保,2025-03-07,5.33,17.45,-2.34,+15.11,15.31,144.35%,-1%/15%(阳),8%,18%,16%,13%,17%,29%
688110,东芯股份,2025-11-27,12.81,16.35,+1.36,+17.71,21.73,146.71%,-8%/1%(阴),-3%,-9%,-12%,-9%,-11%,-5%
688111,金山办公,2020-02-05,2.75,11.6,-1.81,+9.79,18.44,148.92%,-2%/4%(阴),16%,13%,10%,12%,12%,8%
688112,鼎阳科技,2023-04-10,0.74,4.13,-2.52,+1.61,12.81,65.19%,0%/5%(阳),4%,1%,1%,2%,3%,5%
688117,圣诺生物,2023-04-11,11.85,22.05,-2.56,+19.49,18.8,226.19%,-1%/8%(阳),6%,8%,6%,3%,2%,-2%
688117,圣诺生物,2025-04-01,1.3,8.6,-2.63,+5.97,9.34,138.24%,0%/4%(阳),6%,-4%,-1%,-6%,-5%,-4%
688118,普元信息,2023-06-12,2.87,8.17,+1.28,+9.45,20.34,141.24%,-8%/1%(阴),4%,9%,10%,21%,20%,11%
688121,*ST卓然,2023-04-18,2.49,6.87,-1.86,+5.01,7.98,74.89%,-2%/2%(阴),10%,5%,12%,8%,13%,8%
688123,聚辰股份,2026-06-25,13.21,10.61,+3.03,+13.64,23.06,140.53%,-1%/6%(阴),8%,17%,21%,12%,12%,17%
688126,沪硅产业,2020-07-07,8.13,14.56,+4.25,+18.81,17.14,127.71%,-1%/12%(阳),20%,20%,39%(板),66%,64%,19%
688135,利扬芯片,2021-10-12,3.12,6.82,-1.27,+5.55,7.64,143.0%,0%/8%(阳),2%,8%,2%,2%,0%,1%
688136,科兴制药,2022-11-02,4.39,19.6,-3.96,+15.64,20.56,209.46%,-7%/-3%(阴),4%,0%,-4%,-1%,-1%,3%
688138,清溢光电,2022-10-21,1.4,5.56,-3.27,+2.29,21.47,134.28%,-3%/3%(阴),1%,0%,3%,3%,4%,3%
688146,中船特气,2026-04-07,4.0,6.87,-0.47,+6.40,13.5,108.07%,-4%/2%(阳),14%,17%,21%,17%,17%,23%
688151,华强科技,2025-02-11,4.92,16.01,+0.54,+16.55,8.37,193.9%,-6%/-2%(阳),-4%,-8%,-5%,-6%,-8%,-7%
688152,麒麟信安,2026-08-19,8.43,19.3,-5.09,+14.21,23.22,216.71%,-9%/-2%(阴),-8%,-13%,-17%,-17%,-16%,0%(板)
688155,先惠技术,2022-06-20,0.89,7.49,-5.28,+2.21,13.48,104.38%,-6%/0%(阴),-5%,2%,5%,3%,0%,0%
688158,优刻得,2026-01-27,0.41,7.46,-6.52,+0.95,13.95,82.85%,3%/14%(阴),10%,1%,-2%,0%,-4%,-11%
688163,赛伦生物,2026-06-15,2.69,11.63,-3.20,+8.44,22.09,103.58%,-8%/0%(阴),6%,4%,3%,-2%,0%,-2%
688167,炬光科技,2026-05-08,2.91,8.2,-4.74,+3.46,21.07,107.07%,5%/14%(阳),13%,20%,26%,21%,20%,14%
688170,德龙激光,2022-08-01,1.03,7.92,-4.74,+3.18,21.36,60.46%,-4%/2%(阳),6%,3%,1%,0%,-1%,2%
688172,燕东微,2024-11-11,8.11,22.77,-2.93,+19.84,19.31,159.66%,-7%/8%(阳),14%,10%,8%,9%,16%,16%
688179,阿拉丁,2023-10-30,3.79,5.34,-0.49,+4.85,16.77,122.53%,-2%/1%(阴),-1%,-3%,-6%,-2%,-2%,0%
688182,灿勤科技,2024-04-01,4.68,9.42,+0.00,+9.42,16.56,177.42%,-7%/1%(阴),-6%,-9%,-10%,-15%,-19%,-20%
688183,生益电子,2024-05-17,9.77,14.38,-2.26,+12.12,16.76,103.33%,-5%/15%(阳),15%,16%,29%,22%,21%,18%
688183,生益电子,2024-10-21,5.67,19.16,+0.37,+19.53,20.52,170.12%,-9%/-1%(阴),-1%,-4%,-5%,-7%,4%,3%
688183,生益电子,2025-06-06,8.0,9.62,+0.08,+9.69,20.41,116.53%,-3%/2%(阳),1%,2%,3%,6%,7%,5%
688184,ST帕瓦,2026-04-28,5.5,16.0,-1.56,+14.44,14.47,211.63%,-4%/7%(阳),5%,7%,5%,16%,12%,10%
688187,时代电气,2021-11-23,1.36,7.14,-0.48,+6.66,18.31,110.32%,-4%/2%(阴),-3%,1%,1%,1%,1%,-1%
688192,迪哲医药,2025-04-22,-0.09,3.42,-1.99,+1.43,20.2,74.72%,-3%/1%(阴),1%,-2%,-2%,-2%,-1%,1%
688196,卓越新能,2024-04-08,-0.16,16.61,-8.01,+8.60,19.27,104.39%,-4%/1%(阴),0%,-2%,-2%,-5%,-12%,-16%
688205,德科立,2025-09-19,9.69,13.32,+1.85,+15.17,22.56,110.52%,-7%/5%(阴),-2%,-15%,-15%,-18%,-22%,-20%
688206,概伦电子,2025-05-30,4.25,10.59,-5.37,+5.22,8.95,151.95%,-4%/14%(阳),6%,-1%,-3%,-4%,-5%,-7%
688209,英集芯,2022-06-01,7.84,11.66,+1.95,+13.61,21.31,222.79%,-4%/12%(阳),12%,12%,8%,4%,1%,2%
688217,睿昂基因,2021-11-24,4.22,13.17,-5.01,+8.17,20.69,131.56%,-2%/4%(阳),14%,9%,5%,4%,1%,-3%
688218,江苏北人,2022-07-07,7.55,14.41,+2.93,+17.34,21.33,232.3%,5%/19%(阳),25%,26%,24%,48%,53%,60%
688220,翱捷科技,2025-01-22,1.47,6.3,+0.08,+6.38,19.89,62.88%,-3%/1%(阴),2%,9%,18%,32%,25%,21%
688223,晶科能源,2026-02-05,-6.07,9.88,-10.00,-0.12,20.57,119.75%,-3%/11%(阳),22%,9%,7%,3%,1%,0%
688229,博睿数据,2025-11-18,3.52,10.2,-3.40,+6.80,19.42,169.37%,-6%/-1%(阴),-3%,-4%,-5%,-2%,0%,-6%
688233,神工股份,2026-06-30,10.34,19.56,-6.34,+13.21,9.36,97.55%,-1%/15%(阳),8%,-6%,-10%,-13%,-12%,-8%
688234,天岳先进,2022-07-25,8.27,16.98,+0.06,+17.04,8.79,132.56%,-8%/-2%(阴),0%,7%,1%,3%,10%,21%
688237,超卓航科,2024-10-29,6.33,19.06,+0.82,+19.88,19.97,198.97%,-6%/2%(阳),-3%,-7%,3%,7%,6%,2%
688237,超卓航科,2026-07-27,8.79,10.82,-1.30,+9.52,23.25,106.59%,-5%/0%(阴),-2%,-5%,-21%,-24%,-27%,-18%
688247,宣泰医药,2026-07-02,5.54,10.86,-1.33,+9.53,20.21,182.64%,-3%/2%(阴),1%,-2%,-5%,-8%,-5%,-5%
688255,凯尔达,2022-07-29,9.07,14.18,+1.63,+15.81,18.03,157.38%,-4%/7%(阳),6%,12%,23%,17%,26%,41%
688255,凯尔达,2023-02-22,1.12,4.52,-1.74,+2.79,18.91,103.78%,-4%/0%(阴),-2%,-5%,-5%,-5%,-4%,-10%
688256,寒武纪,2023-03-20,9.82,12.64,-0.63,+12.01,20.43,100.81%,-3%/1%(阳),21%,32%,37%,39%,33%,36%
688256,寒武纪,2025-02-24,5.14,7.77,-0.55,+7.22,18.14,86.96%,-3%/4%(阳),4%,3%,2%,-6%,-10%,-8%
688256,寒武纪,2025-08-13,1.31,5.65,-3.40,+2.25,21.6,75.07%,1%/14%(阳),8%,14%,16%,19%,25%,44%(板)
688256,寒武纪,2025-08-25,11.4,10.05,+1.83,+11.89,16.24,151.56%,-6%/-3%(阳),5%,15%,10%,8%,11%,3%
688260,昀冢科技,2021-05-18,8.5,21.56,-1.58,+19.98,21.92,167.62%,-7%/5%(阳),7%,1%,-4%,-4%,-4%,2%
688260,昀冢科技,2024-03-13,3.37,18.85,-4.65,+14.20,17.4,110.2%,-7%/0%(阴),7%,17%,22%,24%,27%,26%
688265,南模生物,2026-08-10,8.51,15.8,+2.33,+18.14,20.64,214.69%,-5%/3%(阳),0%,12%(板),11%,5%,3%,-1%
688269,凯立新材,2021-08-24,5.76,7.8,-1.37,+6.44,22.23,68.37%,-10%/-1%(阴),-3%,-6%,-6%,-6%,-8%,-9%
688270,ST臻镭,2024-11-28,0.34,7.12,-2.27,+4.84,18.84,83.85%,-2%/3%(阳),7%,3%,2%,0%,0%,0%
688273,麦澜德,2022-10-27,2.73,8.52,-3.55,+4.97,15.66,88.12%,-7%/3%(阴),-2%,0%,-5%,-2%,-3%,-3%
688275,万润新能,2024-11-06,15.42,15.58,+4.42,+20.00,10.63,276.6%,-6%/1%(阳),4%,7%,14%,12%,16%,6%
688279,峰岹科技,2025-09-18,3.98,17.42,-2.82,+14.60,21.12,121.31%,-13%/-3%(阴),-8%,-7%,-8%,-7%,-11%,-11%
688281,华秦科技,2024-10-08,18.67,15.83,+3.90,+19.72,16.8,267.37%,-15%/-4%(阳),-3%,-16%,-14%,-12%,-16%,-13%
688286,敏芯股份,2024-11-21,1.23,12.59,-4.31,+8.29,21.72,112.21%,-9%/-1%(阴),-7%,-5%,-10%,-3%,-5%,-5%
688286,敏芯股份,2026-08-17,-1.18,5.32,-5.32,+0.00,19.45,100.18%,-6%/1%(阴),-6%,3%,-4%,-6%,-12%,-13%
688288,鸿泉技术,2020-06-05,11.14,12.45,+2.71,+15.16,20.33,147.41%,-13%/-2%(阴),-11%,-15%,-14%,-18%,-16%,-18%
688288,鸿泉技术,2022-06-02,7.98,12.52,-4.28,+8.24,19.88,187.08%,-5%/9%(阳),6%,-1%,-3%,-6%,-4%,-7%
688291,金橙子,2025-11-25,5.63,10.53,+0.46,+10.99,19.74,164.97%,-4%/0%(阴),4%,1%,-1%,-2%,-7%,-8%
688293,奥浦迈,2024-10-28,7.07,14.44,-4.38,+10.07,21.44,93.01%,-10%/0%(阴),-10%,-7%,-3%,-5%,-5%,-3%
688303,大全能源,2024-10-24,1.23,12.36,-4.93,+7.43,20.33,104.93%,1%/20%(板),17%,19%,4%,8%,2%,-1%
688306,均普智能,2024-12-03,14.51,17.04,+2.93,+19.97,16.93,227.6%,-5%/10%(阳),21%,21%,14%,21%,34%,28%
688307,中润光学,2026-03-03,8.33,21.19,-4.60,+16.59,22.01,176.57%,-11%/-2%(阴),-4%,-10%,-15%,-8%,-8%,-11%
688315,诺禾致源,2023-04-14,5.63,12.65,-1.67,+10.98,21.14,131.7%,-7%/1%(阴),-3%,-1%,1%,0%,-2%,-5%
688316,青云科技,2023-03-23,8.05,18.31,-1.65,+16.67,20.67,158.16%,-1%/19%(阳),32%(板),42%,30%,22%,16%,35%
688318,财富趋势,2023-07-26,5.12,8.01,-0.43,+7.58,12.38,154.32%,-8%/-2%(阴),11%(板),34%,33%,39%,46%,63%
688318,财富趋势,2024-04-29,7.12,11.41,+1.12,+12.52,16.67,150.05%,-1%/3%(阴),4%,-1%,-4%,-3%,-3%,-2%
688318,财富趋势,2024-08-01,-2.19,3.0,-2.90,+0.10,20.24,78.56%,-3%/2%(阴),1%,0%,-2%,0%,0%,-3%
688320,禾川科技,2022-07-28,10.13,13.73,-1.42,+12.30,22.5,120.09%,-3%/4%(阴),8%,8%,15%,12%,10%,4%
688329,艾隆科技,2021-05-07,6.17,16.48,-1.80,+14.67,15.07,201.2%,-7%/-2%(阳),10%,2%,3%,7%,5%,7%
688330,宏力达,2025-09-23,10.87,10.95,+3.36,+14.31,11.13,157.82%,-9%/-5%(阴),-4%,-8%,-7%,-9%,-10%,-14%
688332,中科蓝讯,2025-09-23,8.0,21.73,-5.24,+16.49,14.24,138.24%,-3%/3%(阳),3%,-4%,6%,11%,14%,7%
688333,铂力特,2021-06-22,3.04,14.39,-3.85,+10.55,20.51,98.33%,-2%/5%(阳),5%,6%,6%,5%,5%,5%
688333,铂力特,2025-03-07,8.38,17.22,-1.85,+15.37,19.93,135.38%,-7%/-2%(阴),-4%,-3%,-5%,-9%,-8%,-12%
688335,复洁科技,2026-02-03,1.67,8.2,-5.31,+2.89,12.75,113.3%,-3%/3%(阴),-3%,-8%,-8%,-8%,-9%,-8%
688343,云天励飞,2025-02-26,-3.73,8.22,-8.22,+0.00,26.48,96.1%,-2%/4%(阳),7%,-7%,-5%,-6%,-1%,-5%
688357,建龙微纳,2020-08-14,9.43,15.56,+0.13,+15.69,13.92,138.45%,-2%/4%(阴),17%,13%,16%,23%,17%,11%
688357,建龙微纳,2023-04-27,0.31,4.72,-1.55,+3.17,15.31,49.88%,-2%/1%(阴),-3%,-6%,-7%,-11%,-15%,-12%
688362,甬矽电子,2023-11-06,3.17,7.98,-2.74,+5.24,20.1,134.46%,-2%/4%(阳),6%,2%,0%,0%,-2%,5%
688366,XD昊海生,2020-08-05,3.12,15.72,-7.85,+7.88,17.54,69.69%,-10%/-3%(阴),-6%,-9%,-10%,-13%,-12%,-13%
688368,晶丰明源,2025-12-15,2.22,9.77,-5.19,+4.58,19.99,96.09%,-3%/-1%(阴),-2%,-4%,-4%,-6%,-8%,-3%
688376,美埃科技,2026-06-26,4.51,14.29,-4.85,+9.45,12.1,153.24%,2%/20%(阳),12%,18%,3%,-2%,-5%,-8%
688380,中微半导,2026-01-21,6.89,16.01,-0.85,+15.16,12.62,308.9%,-3%/4%(阴),-3%,3%,8%,24%,31%,37%
688387,信科移动,2023-04-21,6.12,13.57,+2.40,+15.97,14.99,117.04%,-4%/4%(阴),-1%,-7%,-10%,-10%,-11%,-13%
688400,凌云光,2025-02-21,-2.44,14.45,-8.17,+6.28,21.43,113.03%,-9%/-3%(阴),-2%,1%,-4%,-9%,-15%,-14%
688410,山外山,2023-05-04,3.96,8.27,-2.67,+5.60,9.2,142.73%,-4%/0%(阴),-4%,-12%,-18%,-16%,-17%,-16%
688418,震有科技,2026-01-12,12.06,20.4,-0.58,+19.83,19.08,112.13%,-15%/-3%(阴),6%,-3%,0%,-4%,-8%,-17%
688432,有研硅,2026-02-26,1.07,5.69,-3.60,+2.08,20.61,115.38%,-4%/-1%(阳),-3%,-7%,-6%,-6%,-10%,-13%
688448,磁谷科技,2025-11-12,5.39,14.1,-4.23,+9.87,18.9,133.17%,-5%/1%(阳),6%,8%,3%,1%,-2%,-6%
688450,光格科技,2024-06-14,2.82,16.2,-6.03,+10.17,20.59,160.94%,-8%/-1%(阴),2%,12%,17%,7%,1%,-6%
688456,有研粉材,2025-12-25,11.71,14.97,-0.12,+14.84,19.96,209.45%,1%/6%(阳),5%,14%,9%,8%,-1%,-4%
688472,阿特斯,2025-10-30,9.5,7.21,+6.00,+13.21,20.53,162.15%,-6%/4%(阴),8%,13%,30%(板),41%,40%,42%
688478,晶升股份,2026-04-13,4.43,13.85,-2.45,+11.40,18.73,135.88%,-2%/2%(阴),-1%,3%,11%,13%,10%,18%
688484,南芯科技,2026-06-17,2.34,9.57,-4.58,+4.99,19.73,89.57%,-2%/3%(阳),2%,6%,2%,1%,-2%,-5%
688485,九州一轨,2026-06-22,6.44,7.38,+0.13,+7.51,19.78,99.89%,-4%/2%(阴),-2%,-1%,-9%,-13%,-11%,-5%
688488,艾迪药业,2026-04-02,1.96,4.49,-0.28,+4.21,18.52,121.35%,-5%/3%(阳),8%,2%,4%,4%,2%,7%
688489,三未信安,2025-08-22,6.03,20.31,-5.22,+15.09,17.04,251.08%,-4%/8%(阳),2%,-1%,-1%,-2%,-2%,5%
688496,*ST清越,2024-01-02,4.02,12.86,-1.74,+11.12,20.26,126.52%,-5%/0%(阴),-3%,-5%,-11%,-8%,-12%,-15%
688498,源杰科技,2023-09-25,3.1,9.77,-1.04,+8.73,21.48,128.02%,2%/19%(阳),13%,21%,9%,4%,8%,4%
688499,利元亨,2022-08-23,9.05,10.14,+1.46,+11.60,23.02,135.38%,-6%/1%(阴),-4%,-9%,-9%,-10%,-11%,-14%
688503,聚和材料,2026-02-10,2.02,7.83,-3.84,+3.99,8.32,100.36%,0%/9%(阳),7%,5%,0%,-1%,2%,17%
688503,聚和材料,2026-08-18,6.73,11.22,-1.76,+9.47,18.41,149.09%,-8%/-3%(阳),-5%,-8%,-10%,-15%,-14%,-14%
688510,航亚科技,2021-06-01,2.97,12.29,-3.19,+9.10,20.54,158.91%,-3%/3%(阴),0%,-4%,0%,3%,6%,3%
688520,神州细胞,2025-07-04,16.46,17.41,+2.54,+19.95,18.55,182.47%,-5%/1%(阴),-2%,-8%,-10%,-11%,-13%,-14%
688523,航天环宇,2025-11-25,15.82,15.99,+4.00,+19.99,19.19,266.04%,-5%/5%(阴),-5%,10%(板),27%,20%,21%,34%
688529,豪森智能,2025-07-10,7.49,11.37,+4.74,+16.11,16.38,192.69%,-4%/4%(阴),4%,-1%,-8%,-9%,-10%,-10%
688530,欧莱新材,2024-11-11,11.24,24.39,-4.81,+19.58,18.82,188.54%,-9%/0%(阴),9%,-1%,-7%,-13%,-14%,-10%
688530,欧莱新材,2026-02-27,5.23,12.63,-4.82,+7.81,23.52,89.74%,-5%/2%(阴),2%,-9%,-12%,-17%,-20%,-14%
688536,思瑞浦,2021-11-01,0.39,12.05,-7.66,+4.39,16.62,87.77%,-2%/3%(阳),5%,6%,4%,1%,2%,3%
688548,广钢气体,2026-01-08,4.86,9.11,-3.37,+5.74,20.0,107.79%,-4%/0%(阳),3%,5%,8%,8%,16%,19%
688551,科威尔,2023-04-26,7.26,10.47,-1.34,+9.13,11.58,130.1%,0%/3%(阳),4%,12%,8%,5%,2%,-2%
688551,科威尔,2026-05-12,3.21,5.28,-0.25,+5.03,15.44,122.95%,1%/12%(阳),18%,19%,9%,18%,14%,10%
688556,高测股份,2021-08-10,9.25,25.76,-6.17,+19.59,22.92,107.76%,-3%/8%(阳),16%,13%,24%,25%,21%,15%
688559,海目星,2021-07-09,6.18,12.21,-2.94,+9.28,16.3,137.27%,1%/16%(阳),12%,13%,9%,6%,15%,21%
688560,明冠新材,2021-07-26,3.65,14.52,-2.65,+11.87,22.24,97.9%,-8%/5%(阴),-6%,-6%,-5%,-2%,-8%,-12%
688560,明冠新材,2025-11-28,1.66,8.28,-3.02,+5.27,20.31,171.06%,-5%/1%(阴),-5%,-6%,-10%,-9%,-7%,-7%
688566,吉贝尔,2023-03-01,3.04,4.42,-0.40,+4.01,10.0,89.74%,-6%/3%(阴),0%,2%,2%,2%,8%,4%
688568,中科星图,2024-11-06,5.92,15.55,+4.28,+19.83,20.33,153.39%,1%/12%(阴),25%,36%,28%,26%,22%,13%
688571,杭华股份,2026-07-02,5.33,10.76,-2.76,+8.00,21.49,181.64%,-7%/-1%(阴),-6%,-10%,-11%,-14%,-12%,-16%
688578,艾力斯,2022-05-31,8.56,17.5,-0.74,+16.76,18.95,252.44%,5%/18%(阳),16%,23%,22%,34%,20%,17%
688580,伟思医疗,2023-04-27,5.92,6.72,+0.26,+6.98,13.52,161.8%,-3%/-1%(阴),-1%,-2%,-6%,-9%,-11%,-12%
688580,伟思医疗,2023-08-30,-0.01,5.85,-4.65,+1.20,19.16,75.27%,-2%/2%(阳),0%,-1%,-4%,-5%,-6%,-7%
688580,伟思医疗,2025-04-03,9.16,12.35,+5.51,+17.86,20.58,237.59%,-19%/-10%(阴),-13%,-18%,-13%,-11%,-8%,-9%
688589,力合微,2026-07-01,3.92,9.31,-1.04,+8.27,19.95,149.33%,-3%/2%(阳),-2%,-4%,-6%,-8%,-8%,-5%
688591,泰凌微,2025-03-27,4.17,11.48,-2.50,+8.99,10.09,116.56%,-3%/1%(阴),6%,10%,6%,2%,-13%,-21%
688593,新相微,2025-09-12,12.71,16.97,-1.85,+15.12,21.38,171.95%,-5%/5%(阴),8%,11%,19%,19%,11%,4%
688596,正帆科技,2026-06-29,17.31,22.16,-2.17,+19.99,22.88,171.79%,8%/19%(阳),34%,27%,21%,21%,25%,25%
688598,金博股份,2021-08-26,5.25,7.96,+1.60,+9.56,7.84,68.03%,-2%/2%(阴),10%,11%,10%,10%,7%,-2%
688601,力芯微,2022-03-22,9.3,9.78,+3.97,+13.75,20.06,143.98%,-1%/6%(阴),0%,1%,0%,0%,-1%,2%
688602,康鹏科技,2023-08-31,11.93,24.15,-4.12,+20.03,18.46,168.76%,-2%/19%(阳),6%,-1%,-1%,-5%,-7%,-10%
688603,天承科技,2026-05-12,8.73,10.32,+1.09,+11.40,18.2,113.4%,-3%/4%(阳),15%,13%,12%,19%,25%,31%
688606,奥泰生物,2022-01-11,15.48,25.0,-5.00,+20.00,9.45,171.45%,-7%/6%(阳),9%,21%(板),25%,12%,-9%,-8%
688609,九联科技,2022-07-20,5.8,6.11,+2.90,+9.02,18.28,168.08%,-5%/1%(阴),-3%,-5%,-9%,-8%,-6%,-8%
688617,惠泰医疗,2022-10-17,20.0,9.99,+10.01,+20.00,18.66,289.73%,-3%/6%(阳),4%,5%,7%,8%,11%,9%
688622,*ST禾信,2025-07-30,1.49,5.97,+0.03,+6.00,20.17,117.89%,1%/4%(阳),6%,15%,17%,19%,17%,17%
688625,呈和科技,2022-08-23,2.16,4.27,-1.54,+2.74,17.08,76.17%,-1%/6%(阴),2%,4%,7%,9%,4%,0%
688626,翔宇医疗,2021-06-22,2.46,11.25,-5.68,+5.57,19.57,91.06%,-5%/0%(阴),3%,3%,5%,1%,2%,2%
688626,翔宇医疗,2025-07-01,8.11,17.13,+2.86,+19.99,17.23,187.16%,-8%/-2%(阴),-7%,-3%,-9%,-11%,-9%,-10%
688628,优利德,2026-04-20,4.31,9.05,-2.75,+6.30,19.74,113.96%,-2%/0%(阳),19%,32%,31%,33%,32%,27%
688629,华丰科技,2025-02-24,3.58,9.88,-3.85,+6.03,17.66,91.56%,-6%/9%(阳),3%,9%,6%,-6%,-10%,-3%
688630,芯碁微装,2022-06-24,3.96,7.19,+2.13,+9.32,19.97,186.66%,1%/10%(阳),17%,10%,9%,26%,19%,18%
688630,芯碁微装,2025-07-29,10.47,10.69,+1.70,+12.39,14.97,102.66%,-5%/0%(阴),6%,-3%,-8%,-5%,-6%,-1%
688630,芯碁微装,2026-04-09,2.04,6.98,-2.00,+4.98,15.0,85.66%,-2%/4%(阳),0%,0%,4%,-4%,0%,2%
688631,莱斯信息,2024-10-21,19.99,22.87,-2.88,+19.99,22.3,136.25%,-11%/4%(阴),-1%,-7%,-2%,-4%,-11%,-5%
688651,盛邦安全,2026-01-08,9.73,15.13,-3.44,+11.69,22.68,120.01%,-8%/-1%(阴),0%,-4%,-5%,-5%,-6%,-7%
